Season,PlayerId,Team,NTC,NMC,ELC,UFA,Average Salary,Major 2034,Major 2035,Major 2036,Major 2037,Major 2038,Major 2039,Major 2040,Major 2041,Major 2042,Major 2043,Major 2044,Major 2045,Major 2046,Major 2047,Minor 2034,Minor 2035,Minor 2036,Minor 2037,Minor 2038,Minor 2039,Minor 2040,Minor 2041,Minor 2042,Minor 2043,Minor 2044,Minor 2045,Minor 2046,Minor 2047
2034/2035,17714,11,No,No,No,Yes,2820000,2820000,2820000,2820000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2820000,2820000,2820000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,173780,27,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,153511,8,No,No,Yes,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,158222,19,No,No,No,Yes,3750000,4125000,4125000,4125000,3375000,3375000,3375000,-1,-1,-1,-1,-1,-1,-1,-1,4125000,4125000,4125000,3375000,3375000,3375000,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,158225,3,No,No,Yes,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,173794,26,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62000,62000,62000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,153555,0,No,No,No,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,163273,3,No,No,Yes,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,153575,5092,No,No,No,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,163277,28,No,No,Yes,No,925000,925000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,925000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,153600,29,No,No,No,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,18225,0,No,Yes,No,Yes,10440000,10440000,10440000,10440000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10440000,10440000,10440000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,18226,10,No,No,No,Yes,3080000,3080000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3080000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,168404,18,No,No,Yes,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,163289,32,No,No,Yes,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,158265,17,No,No,No,No,1010000,1060500,1010000,959500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,131300,131300,131300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,18283,0,No,No,No,Yes,9500000,10190000,8810000,8810000,8550000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10190000,8810000,8810000,8550000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,18293,5092,No,Yes,No,Yes,8037916,7735500,7735500,9550000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7735500,7735500,9550000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,153617,22,No,No,No,No,960000,960000,960000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,960000,960000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,18315,33,No,No,No,No,4392000,2973000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2973000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,153622,18,No,No,No,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,153631,27,No,No,No,Yes,2990000,2990000,2990000,2990000,2990000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2990000,2990000,2990000,2990000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,18393,15,No,No,No,Yes,8660000,8660000,8660000,8660000,8660000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8660000,8660000,8660000,8660000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,18402,15,No,No,No,Yes,2430862,2430862,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2430862,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,18461,33,No,No,No,Yes,6090000,6090000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6090000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,163300,14,No,No,Yes,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,178954,16,No,No,Yes,No,925000,925000,925000,925000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,925000,925000,925000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,18484,12,No,No,No,Yes,5356466,5340000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5340000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,168425,31,No,No,Yes,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,158285,4838,No,No,No,Yes,6440000,6717120,6582120,6297880,6162880,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6717120,6582120,6297880,6162880,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,158286,34,No,No,Yes,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,18497,27,No,No,No,Yes,6407100,6407100,6407100,6407100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6407100,6407100,6407100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,18559,10,No,No,No,Yes,5949000,5949000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5949000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,18573,21,No,No,No,Yes,3733333,3733333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3733333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,18618,16,No,No,No,Yes,5530000,5810000,5530000,5250000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5810000,5530000,5250000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,18626,27,No,No,No,Yes,7190000,7190000,7190000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7190000,7190000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,18633,20,No,No,No,Yes,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,18661,4182,No,No,No,Yes,6190000,6190000,6190000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6190000,6190000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,184523,19,No,No,Yes,No,790000,790000,790000,790000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,120000,120000,120000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,173846,5088,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115000,115000,115000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,168445,5092,No,No,Yes,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,168447,8,No,No,Yes,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115000,115000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,184527,16,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115000,115000,115000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,158312,0,No,No,No,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,158314,12,No,No,Yes,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,158315,21,No,No,Yes,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94000,94000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,158318,5,No,No,Yes,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,18912,18,No,No,No,Yes,5040000,5040000,5040000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5040000,5040000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,173873,16,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94000,94000,94000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,179000,29,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115000,115000,115000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,173882,24,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,179012,18,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115000,115000,115000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,173892,5092,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94000,94000,94000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,158328,34,No,No,Yes,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,168486,5092,No,No,Yes,No,832500,832500,832500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,832500,832500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,158337,21,No,No,No,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,19187,5098,No,No,No,Yes,4410000,4410000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,158343,20,No,No,No,No,1020000,1020000,1020000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1020000,1020000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,151033,5098,No,No,No,No,925000,925000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,925000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,151034,29,No,No,No,Yes,775000,775000,775000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115875,115875,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,173908,0,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,151038,10,No,No,No,No,855000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,110721,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,19241,19,No,No,No,Yes,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,19258,8,No,No,No,Yes,6010000,6010000,6010000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6010000,6010000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,19311,23,No,No,No,Yes,6640000,6640000,6105000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6640000,6105000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,19402,4838,No,No,No,Yes,6270000,6270000,6270000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6270000,6270000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,163368,17,No,No,Yes,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,151145,33,No,No,No,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,19485,14,No,No,No,Yes,2990000,2990000,2810000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2990000,2810000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,173937,23,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94000,94000,94000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,19505,32,No,No,No,Yes,5023200,5460000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5460000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,19507,27,No,No,No,Yes,4719600,5130000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5130000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,179053,5092,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115000,115000,115000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,151189,18,No,No,No,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,158364,3,No,No,No,Yes,3060000,3060000,3060000,3060000,3060000,3060000,3060000,-1,-1,-1,-1,-1,-1,-1,-1,3060000,3060000,3060000,3060000,3060000,3060000,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,19538,5098,No,No,No,Yes,1520000,1520000,1520000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1520000,1520000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,151202,35,No,No,No,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,19567,32,No,No,No,Yes,2990000,2990000,2540000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2990000,2540000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,19576,5,No,No,No,Yes,8830000,9360000,9360000,8300000,8300000,7945000,-1,-1,-1,-1,-1,-1,-1,-1,-1,9360000,9360000,8300000,8300000,7945000,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,151219,14,No,No,No,No,775000,775000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,151229,8,No,No,No,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,153771,16,No,No,Yes,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,173944,3,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,151275,9,No,No,No,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,153781,35,No,No,No,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,151291,35,No,No,No,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,173952,20,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,19798,32,No,No,No,Yes,7410000,7410000,7410000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7410000,7410000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,151312,15,No,No,No,Yes,1500000,1500000,1500000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1500000,1500000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,19814,25,No,No,No,Yes,3111111,3111111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3111111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,19815,12,No,No,No,Yes,4107542,3923478,4843800,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3923478,4843800,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,151318,31,No,No,No,No,880000,880000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,19840,4182,No,No,No,Yes,3580000,3580000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3580000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,19871,30,No,No,No,Yes,6780250,6597000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6597000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,19877,15,No,No,No,Yes,6322584,7136100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7136100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,19881,28,No,No,No,Yes,5940000,5940000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5940000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,173965,12,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,19922,26,No,Yes,No,Yes,8550000,8550000,8550000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,158409,20,No,No,No,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,168550,24,No,No,Yes,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115000,115000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,153808,17,No,No,Yes,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,179109,3,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115000,115000,115000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,168560,16,No,No,Yes,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,153845,5,No,No,Yes,No,885000,885000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,163427,19,No,No,Yes,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94000,94000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,153863,5,No,No,No,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70000,70000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,163432,17,No,No,No,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,173995,0,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115000,115000,115000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,153961,29,No,No,No,No,880000,880000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,158444,3,No,No,Yes,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,179155,3,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,154018,22,No,No,No,No,825000,825000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,154033,21,No,No,Yes,No,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,158446,24,No,No,No,Yes,3570000,3570000,3570000,3570000,3570000,3570000,3570000,-1,-1,-1,-1,-1,-1,-1,-1,3570000,3570000,3570000,3570000,3570000,3570000,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,179164,34,No,No,Yes,No,925000,925000,925000,925000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,925000,925000,925000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,179168,24,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,179174,21,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94000,94000,94000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,163449,32,No,No,Yes,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,179180,22,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94000,94000,94000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,184796,33,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75000,75000,75000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,154108,4838,No,No,No,No,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,168616,8,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94000,94000,94000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,179205,27,No,No,Yes,No,790000,790000,790000,790000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99000,99000,99000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,154163,30,No,No,Yes,No,925000,925000,925000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,925000,925000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2034/2035,179213,15,No,No,Yes,No,750000,750000,750000,750000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115000,115000,115000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
